element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ar,4,"=""291.826""","=""0.003""","=""291.8244""","=""0.0024""","=""9""","=""1.3e+07""",E,"=""251967.35""","=""286224.5""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""",,"=""T1619CA,LS""","=""L11418""",
Ar,2,"=""292.46339""","=""0.00012""","=""292.463391""","=""0.000014""","=""13bl""","=""""",,"=""174409.8916""","=""208592.2016""","=""3s2.3p4.(1D).3d""","=""2P""","=""3/2""","=""3s2.3p4.(1D<2>).4f""","=""2[1]*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""292.46677""","=""0.00005""","=""292.466794""","=""0.000016""","=""12""","=""""",,"=""174409.8916""","=""208591.8039""","=""3s2.3p4.(1D).3d""","=""2P""","=""3/2""","=""3s2.3p4.(1D<2>).4f""","=""2[1]*""","=""1/2""",,"=""""","=""L11520""",
Ar,4,"=""292.627""","=""0.003""","=""292.623""","=""0.004""","=""11""","=""2.0e+08""",D,"=""256087.8""","=""290251.5""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""2D*""","=""3/2""",,"=""T1619CA,LS""","=""L11418""",
Ar,3,"=""292.8823""","=""0.0020""","=""292.88623""","=""0.00021""","=""8""","=""""",,"=""207674.192""","=""241807.155""","=""3s2.3p3.(2P*).4s""","=""3P*""","=""0""","=""3s2.3p3.(2P*).4p""","=""1P""","=""1""",,"=""""","=""L9366""",
Ar,2,"=""293.14809""","=""0.00005""","=""293.148090""","=""0.000020""","=""11""","=""""",,"=""174821.0098""","=""208923.4846""","=""3s2.3p4.(1D).3d""","=""2P""","=""1/2""","=""3s2.3p4.(1D<2>).4f""","=""2[2]*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""293.25905""","=""0.00010""","=""293.259008""","=""0.000003""","=""6""","=""8.e+05""",C,"=""139258.3389""","=""173347.9158""","=""3s2.3p4.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p4.(1D).4p""","=""2D*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""293.5538""","=""0.0006""","=""293.55453""","=""0.00010""","=""3""","=""""",,"=""170530.4040""","=""204585.664""","=""3s2.3p4.(1D).4p""","=""2F*""","=""7/2""","=""3s2.3p4.(3P).5d""","=""2D""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""293.890""","=""0.002""","=""293.890926""","=""0.000017""","=""1p""","=""""",,"=""170401.0170""","=""204417.2985""","=""3s2.3p4.(1D).4p""","=""2F*""","=""5/2""","=""3s2.3p4.(3P).5d""","=""2D""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""294.1893""","=""0.0006""","=""294.189511""","=""0.000017""","=""1""","=""""",,"=""158730.2995""","=""192712.058""","=""3s2.3p4.(3P).4p""","=""2D*""","=""5/2""","=""3s2.3p4.(3P).4d""","=""2D""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""294.28932""","=""0.00001""","=""294.289308""","=""0.000003""","=""1047""","=""5.3e+07""",B,"=""138243.6444""","=""172213.8798""","=""3s2.3p4.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p4.(1D).4p""","=""2P*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""294.7275""","=""0.0006""","=""294.728037""","=""0.000009""","=""2""","=""""",,"=""172335.5985""","=""206255.2684""","=""3s2.3p4.(1D).3d""","=""2D""","=""5/2""","=""3s2.3p4.(3P<1>).5f""","=""2[3]*""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""294.8119""","=""0.0006""","=""294.811735""","=""0.000008""","=""0.5""","=""""",,"=""172335.5985""","=""206245.6390""","=""3s2.3p4.(1D).3d""","=""2D""","=""5/2""","=""3s2.3p4.(3P<1>).5f""","=""2[3]*""","=""7/2""",,"=""""","=""L14821""",
Ar,2,"=""295.53882""","=""0.00001""","=""295.538822""","=""0.000006""","=""68""","=""""",,"=""158730.2995""","=""192556.9179""","=""3s2.3p4.(3P).4p""","=""2D*""","=""5/2""","=""3s2.3p4.(3P).4d""","=""2D""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""295.65420""","=""0.00014""","=""295.654135""","=""0.000008""","=""6""","=""""",,"=""172335.5985""","=""206149.0242""","=""3s2.3p4.(1D).3d""","=""2D""","=""5/2""","=""3s2.3p4.(3P<1>).5f""","=""2[4]*""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""295.7532""","=""0.0006""","=""295.753510""","=""0.000014""","=""3""","=""""",,"=""172829.6539""","=""206631.7185""","=""3s2.3p4.(1D).3d""","=""2D""","=""3/2""","=""3s2.3p4.(3P<0>).5f""","=""2[3]*""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""296.02396""","=""0.00014""","=""296.023893""","=""0.000017""","=""10bl""","=""""",,"=""174821.0098""","=""208592.2016""","=""3s2.3p4.(1D).3d""","=""2P""","=""1/2""","=""3s2.3p4.(1D<2>).4f""","=""2[1]*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""296.02741""","=""0.00003""","=""296.027379""","=""0.000019""","=""23""","=""""",,"=""174821.0098""","=""208591.8039""","=""3s2.3p4.(1D).3d""","=""2P""","=""1/2""","=""3s2.3p4.(1D<2>).4f""","=""2[1]*""","=""1/2""",,"=""""","=""L11520""",
Ar,2,"=""296.0514""","=""0.0006""","=""296.052958""","=""0.000010""","=""0.5""","=""""",,"=""172335.5985""","=""206103.4749""","=""3s2.3p4.(1D).3d""","=""2D""","=""5/2""","=""3s2.3p4.(3P<1>).5f""","=""2[2]*""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""297.90502""","=""0.00001""","=""297.905007""","=""0.000004""","=""263""","=""4.16e+07""",B,"=""139258.3389""","=""172816.2926""","=""3s2.3p4.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p4.(1D).4p""","=""2P*""","=""1/2""",,"=""T926""","=""L11520""",
Ar,2,"=""299.0843""","=""0.0006""","=""299.084527""","=""0.000014""","=""2""","=""""",,"=""172829.6539""","=""206255.2684""","=""3s2.3p4.(1D).3d""","=""2D""","=""3/2""","=""3s2.3p4.(3P<1>).5f""","=""2[3]*""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""299.9110""","=""0.0006""","=""299.910709""","=""0.000008""","=""2""","=""""",,"=""163299.5616""","=""196633.1005""","=""3s2.3p4.(1D).3d""","=""2F""","=""5/2""","=""3s2.3p4.(3P<0>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""300.0109""","=""0.0003""","=""300.010929""","=""0.000006""","=""3""","=""""",,"=""163299.5616""","=""196621.9658""","=""3s2.3p4.(1D).3d""","=""2F""","=""5/2""","=""3s2.3p4.(3P<0>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""300.04451""","=""0.00005""","=""300.044527""","=""0.000018""","=""17""","=""1.5e+08""",D,"=""159393.3850""","=""192712.058""","=""3s2.3p4.(3P).4p""","=""2D*""","=""3/2""","=""3s2.3p4.(3P).4d""","=""2D""","=""3/2""",,"=""T1240""","=""L11520""",
Ar,3,"=""300.26407""","=""0.00006""","=""300.26399""","=""0.00004""","=""16""","=""""",,"=""211063.760""","=""244358.081""","=""3s2.3p3.(2P*).4s""","=""1P*""","=""1""","=""3s2.3p3.(2P*).4p""","=""1D""","=""2""",,"=""""","=""L11520""",
Ar,2,"=""300.2964""","=""0.0003""","=""300.296447""","=""0.000014""","=""4""","=""""",,"=""172829.6539""","=""206120.3769""","=""3s2.3p4.(1D).3d""","=""2D""","=""3/2""","=""3s2.3p4.(3P<1>).5f""","=""2[2]*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""300.4486""","=""0.0006""","=""300.448994""","=""0.000015""","=""2""","=""""",,"=""172829.6539""","=""206103.4749""","=""3s2.3p4.(1D).3d""","=""2D""","=""3/2""","=""3s2.3p4.(3P<1>).5f""","=""2[2]*""","=""3/2""",,"=""""","=""L14821""",
Ar,3,"=""""","=""""","=""300.522""","=""0.004""","=""""","=""4.3e-02""",D,"=""0.000""","=""33265.7""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p4""","=""1S""","=""0""",E2,"=""T761""","=""""",
Ar,8,"=""300.66""","=""0.03""","=""300.66""","=""0.07""","=""""","=""""",,"=""998465.""","=""1031716.""","=""2p6.7p""","=""2P*""","=""1/2""","=""2p6.8s""","=""2S""","=""1/2""",,"=""""","=""L11180""",
Ar,3,"=""301.002""","=""0.003""","=""300.9985""","=""0.0011""","=""10""","=""""",,"=""210212.72""","=""243425.7974""","=""3s2.3p3.(2P*).3d""","=""3D*""","=""3""","=""3s2.3p3.(2P*).4p""","=""3P""","=""2""",,"=""""","=""L7493""",
Ar,2,"=""301.44819""","=""0.00010""","=""301.448204""","=""0.000006""","=""7""","=""""",,"=""159393.3850""","=""192556.9179""","=""3s2.3p4.(3P).4p""","=""2D*""","=""3/2""","=""3s2.3p4.(3P).4d""","=""2D""","=""5/2""",,"=""""","=""L11520""",
Ar,4,"=""301.615""","=""0.005""","=""301.607""","=""0.003""","=""5""","=""""",,"=""256087.8""","=""289233.9""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""",,"=""""","=""L4489""",
Ar,3,"=""302.39801""","=""0.00017""","=""302.39806""","=""0.00004""","=""5""","=""2.6e+08""",D,"=""207233.003""","=""240292.3714""","=""3s2.3p3.(2P*).4s""","=""3P*""","=""2""","=""3s2.3p3.(2P*).4p""","=""3D""","=""3""",,"=""T1619CA,LS""","=""L11520""",
Ar,2,"=""302.67455""","=""0.00002""","=""302.674550""","=""0.000013""","=""35""","=""""",,"=""172213.8798""","=""205243.0497""","=""3s2.3p4.(1D).4p""","=""2P*""","=""3/2""","=""3s2.3p4.(1D).4d""","=""2S""","=""1/2""",,"=""""","=""L11520""",
Ar,3,"=""302.716""","=""0.003""","=""302.70864""","=""0.00005""","=""5""","=""6.4e+07""",D,"=""207233.003""","=""240258.453""","=""3s2.3p3.(2P*).4s""","=""3P*""","=""2""","=""3s2.3p3.(2P*).4p""","=""3D""","=""2""",,"=""T1619CA,LS""","=""L7493""",
Ar,8,"=""302.81""","=""0.04""","=""302.82""","=""0.08""","=""""","=""""",,"=""832261.""","=""865274.""","=""2p6.5p""","=""2P*""","=""1/2""","=""2p6.5d""","=""2D""","=""3/2""",,"=""""","=""L13101""",
Ar,2,"=""302.8721""","=""0.0006""","=""302.872055""","=""0.000018""","=""3""","=""""",,"=""172213.8798""","=""205221.512""","=""3s2.3p4.(1D).4p""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).5d""","=""2P""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""302.89140""","=""0.00002""","=""302.891004""","=""0.000007""","=""47*""","=""""",,"=""163299.5616""","=""196305.1289""","=""3s2.3p4.(1D).3d""","=""2F""","=""5/2""","=""3s2.3p4.(3P<1>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""302.89140""","=""0.00002""","=""302.891399""","=""0.000018""","=""47*""","=""2.3e+08""",D,"=""159706.5337""","=""192712.058""","=""3s2.3p4.(3P).4p""","=""2P*""","=""1/2""","=""3s2.3p4.(3P).4d""","=""2D""","=""3/2""",,"=""T1240""","=""L11520""",
Ar,2,"=""303.35082""","=""0.00001""","=""303.350811""","=""0.000003""","=""78""","=""9.9e+06""",B,"=""139258.3389""","=""172213.8798""","=""3s2.3p4.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p4.(1D).4p""","=""2P*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""303.6887""","=""0.0012""","=""303.689238""","=""0.000007""","=""2bl?""","=""""",,"=""157673.4134""","=""190592.2306""","=""3s2.3p4.(3P).4p""","=""4D*""","=""5/2""","=""3s2.3p4.(3P).4d""","=""2P""","=""3/2""",,"=""""","=""L14821""",
Ar,3,"=""303.696""","=""0.003""","=""303.68767""","=""0.00012""","=""3""","=""7.0e+06""",E,"=""207233.003""","=""240151.990""","=""3s2.3p3.(2P*).4s""","=""3P*""","=""2""","=""3s2.3p3.(2P*).4p""","=""3D""","=""1""",,"=""T1619CA,LS""","=""L7493""",
Ar,4,"=""303.791""","=""0.003""","=""303.790""","=""0.003""","=""9""","=""3.6e+07""",E,"=""257343.58""","=""290251.5""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""2D*""","=""3/2""",,"=""T1619CA,LS""","=""L11418""",
Ar,2,"=""304.2463""","=""0.0006""","=""304.246739""","=""0.000011""","=""1""","=""""",,"=""172335.5985""","=""205194.0978""","=""3s2.3p4.(1D).3d""","=""2D""","=""5/2""","=""3s2.3p4.(3P<2>).5f""","=""2[1]*""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""304.60787""","=""0.00008""","=""304.607913""","=""0.000005""","=""6""","=""""",,"=""163299.5616""","=""196119.1021""","=""3s2.3p4.(1D).3d""","=""2F""","=""5/2""","=""3s2.3p4.(3P<1>).4f""","=""2[4]*""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""304.7053""","=""0.0006""","=""304.705269""","=""0.000004""","=""0.5""","=""""",,"=""163506.5368""","=""196315.5916""","=""3s2.3p4.(1D).3d""","=""2F""","=""7/2""","=""3s2.3p4.(3P<1>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""304.8021""","=""0.0006""","=""304.802474""","=""0.000006""","=""2""","=""""",,"=""163506.5368""","=""196305.1289""","=""3s2.3p4.(1D).3d""","=""2F""","=""7/2""","=""3s2.3p4.(3P<1>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L14821""",
Ar,2,"=""304.8784""","=""0.0006""","=""304.878841""","=""0.000006""","=""2""","=""""",,"=""163299.5616""","=""196089.9385""","=""3s2.3p4.(1D).3d""","=""2F""","=""5/2""","=""3s2.3p4.(3P<1>).4f""","=""2[2]*""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""305.0043""","=""0.0006""","=""305.004111""","=""0.000010""","=""1""","=""""",,"=""163299.5616""","=""196076.4715""","=""3s2.3p4.(1D).3d""","=""2F""","=""5/2""","=""3s2.3p4.(3P<1>).4f""","=""2[2]*""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""305.3151""","=""0.0006""","=""305.315013""","=""0.000010""","=""5""","=""""",,"=""172335.5985""","=""205079.1331""","=""3s2.3p4.(1D).3d""","=""2D""","=""5/2""","=""3s2.3p4.(3P<2>).5f""","=""2[2]*""","=""5/2""",,"=""""","=""L14821""",
Ar,3,"=""305.47736""","=""0.00045""","=""305.4775""","=""0.0004""","=""3""","=""1.9e+08""",D,"=""207532.33""","=""240258.453""","=""3s2.3p3.(2P*).4s""","=""3P*""","=""1""","=""3s2.3p3.(2P*).4p""","=""3D""","=""2""",,"=""T1619CA,LS""","=""L11520""",
Ar,2,"=""305.5281""","=""0.0006""","=""305.527974""","=""0.000010""","=""0.5""","=""""",,"=""172335.5985""","=""205056.3109""","=""3s2.3p4.(1D).3d""","=""2D""","=""5/2""","=""3s2.3p4.(3P<2>).5f""","=""2[2]*""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""306.09059""","=""0.00010""","=""306.090557""","=""0.000009""","=""7""","=""""",,"=""172335.5985""","=""204996.1739""","=""3s2.3p4.(1D).3d""","=""2D""","=""5/2""","=""3s2.3p4.(3P<2>).5f""","=""2[3]*""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""306.2643""","=""0.0006""","=""306.264300""","=""0.000009""","=""3""","=""""",,"=""172335.5985""","=""204977.6464""","=""3s2.3p4.(1D).3d""","=""2D""","=""5/2""","=""3s2.3p4.(3P<2>).5f""","=""2[3]*""","=""5/2""",,"=""""","=""L14821""",
Ar,3,"=""306.477""","=""0.003""","=""306.4745""","=""0.0004""","=""10""","=""1.0e+08""",D,"=""207532.33""","=""240151.990""","=""3s2.3p3.(2P*).4s""","=""3P*""","=""1""","=""3s2.3p3.(2P*).4p""","=""3D""","=""1""",,"=""T1619CA,LS""","=""L7493""",
Ar,2,"=""306.5120""","=""0.0012""","=""306.513328""","=""0.000009""","=""3w,bl""","=""""",,"=""172335.5985""","=""204951.1273""","=""3s2.3p4.(1D).3d""","=""2D""","=""5/2""","=""3s2.3p4.(3P<2>).5f""","=""2[4]*""","=""7/2""",,"=""""","=""L14821""",
Ar,2,"=""306.5400""","=""0.0006""","=""306.541182""","=""0.000004""","=""0.5""","=""""",,"=""163506.5368""","=""196119.1021""","=""3s2.3p4.(1D).3d""","=""2F""","=""7/2""","=""3s2.3p4.(3P<1>).4f""","=""2[4]*""","=""7/2""",,"=""""","=""L14821""",
Ar,2,"=""306.6889""","=""0.0006""","=""306.688823""","=""0.000003""","=""6""","=""""",,"=""163506.5368""","=""196103.4029""","=""3s2.3p4.(1D).3d""","=""2F""","=""7/2""","=""3s2.3p4.(3P<1>).4f""","=""2[4]*""","=""9/2""",,"=""""","=""L14821""",
Ar,2,"=""307.166""","=""0.002""","=""307.166501""","=""0.000003""","=""0.5""","=""""",,"=""155043.1619""","=""187589.3383""","=""3s2.3p4.(3P).4p""","=""4P*""","=""5/2""","=""3s2.3p4.(3P).4d""","=""2F""","=""5/2""",,"=""""","=""L14821""",
Ar,8,"=""307.32""","=""0.04""","=""307.33""","=""0.09""","=""""","=""""",,"=""832749.""","=""865278.""","=""2p6.5p""","=""2P*""","=""3/2""","=""2p6.5d""","=""2D""","=""5/2""",,"=""""","=""L13101""",
Ar,4,"=""307.726""","=""""","=""307.7268""","=""0.0024""","=""8bl:""","=""""",,"=""257343.58""","=""289830.5""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""5/2""",,"=""""","=""L11418""",
Ar,3,"=""307.815""","=""0.003""","=""307.81323""","=""0.00018""","=""10""","=""1.4e+08""",D,"=""207674.192""","=""240151.990""","=""3s2.3p3.(2P*).4s""","=""3P*""","=""0""","=""3s2.3p3.(2P*).4p""","=""3D""","=""1""",,"=""T1619CA,LS""","=""L7493""",
Ar,2,"=""308.29777""","=""0.00007""","=""308.297760""","=""0.000014""","=""10""","=""""",,"=""172816.2926""","=""205243.0497""","=""3s2.3p4.(1D).4p""","=""2P*""","=""1/2""","=""3s2.3p4.(1D).4d""","=""2S""","=""1/2""",,"=""""","=""L11520""",
Ar,2,"=""308.3193""","=""0.0006""","=""308.319881""","=""0.000008""","=""1""","=""""",,"=""158167.7999""","=""190592.2306""","=""3s2.3p4.(3P).4p""","=""4D*""","=""3/2""","=""3s2.3p4.(3P).4d""","=""2P""","=""3/2""",,"=""""","=""L14821""",
Ar,3,"=""308.364""","=""0.003""","=""308.3598""","=""0.0012""","=""3""","=""""",,"=""211005.56""","=""243425.7974""","=""3s2.3p3.(2P*).3d""","=""3D*""","=""2""","=""3s2.3p3.(2P*).4p""","=""3P""","=""2""",,"=""""","=""L7493""",
Ar,2,"=""308.50273""","=""0.00003""","=""308.502675""","=""0.000019""","=""19""","=""""",,"=""172816.2926""","=""205221.512""","=""3s2.3p4.(1D).4p""","=""2P*""","=""1/2""","=""3s2.3p4.(3P).5d""","=""2P""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""308.82151""","=""0.00016""","=""308.82132""","=""0.00011""","=""8""","=""""",,"=""172213.8798""","=""204585.664""","=""3s2.3p4.(1D).4p""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).5d""","=""2D""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""308.8910""","=""0.0006""","=""308.891368""","=""0.000016""","=""3""","=""""",,"=""172829.6539""","=""205194.0978""","=""3s2.3p4.(1D).3d""","=""2D""","=""3/2""","=""3s2.3p4.(3P<2>).5f""","=""2[1]*""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""309.34018""","=""0.00001""","=""309.340173""","=""0.000006""","=""68""","=""4.4e+08""",D,"=""160239.4280""","=""192556.9179""","=""3s2.3p4.(3P).4p""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).4d""","=""2D""","=""5/2""",,"=""T1240""","=""L11520""",
Ar,2,"=""309.49654""","=""0.00007""","=""309.496469""","=""0.000019""","=""8""","=""""",,"=""172213.8798""","=""204515.050""","=""3s2.3p4.(1D).4p""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).5d""","=""2P""","=""1/2""",,"=""""","=""L11520""",
Ar,2,"=""309.9925""","=""0.0003""","=""309.992564""","=""0.000016""","=""4""","=""""",,"=""172829.6539""","=""205079.1331""","=""3s2.3p4.(1D).3d""","=""2D""","=""3/2""","=""3s2.3p4.(3P<2>).5f""","=""2[2]*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""310.1004""","=""0.0006""","=""310.100855""","=""0.000004""","=""2""","=""""",,"=""155351.1206""","=""187589.3383""","=""3s2.3p4.(3P).4p""","=""4P*""","=""3/2""","=""3s2.3p4.(3P).4d""","=""2F""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""310.25862""","=""0.00013""","=""310.258606""","=""0.000016""","=""5""","=""""",,"=""174409.8916""","=""206631.7185""","=""3s2.3p4.(1D).3d""","=""2P""","=""3/2""","=""3s2.3p4.(3P<0>).5f""","=""2[3]*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""310.2953""","=""0.0006""","=""310.2953""","=""0.0006""","=""1""","=""""",,"=""183675.6614""","=""215893.68""","=""3s2.3p4.(3P).4d""","=""4D""","=""7/2""","=""3s2.3p4.(3P<2>).8f""","=""2[4]*""","=""9/2""",,"=""""","=""L14821""",
Ar,2,"=""310.43601""","=""0.00005""","=""310.435963""","=""0.000019""","=""17""","=""""",,"=""172213.8798""","=""204417.2985""","=""3s2.3p4.(1D).4p""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).5d""","=""2D""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""310.8801""","=""0.0006""","=""310.880493""","=""0.000004""","=""2""","=""""",,"=""138243.6444""","=""170401.0170""","=""3s2.3p4.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p4.(1D).4p""","=""2F*""","=""5/2""",,"=""""","=""L14821""",
Ar,3,"=""310.908""","=""0.030""","=""310.918""","=""0.004""","=""""","=""4.02e+00""",C,"=""1112.17""","=""33265.7""","=""3s2.3p4""","=""3P""","=""1""","=""3s2.3p4""","=""1S""","=""0""",M1,"=""T761""","=""L3453""",
Ar,2,"=""310.9711""","=""0.0006""","=""310.971205""","=""0.000015""","=""4""","=""""",,"=""172829.6539""","=""204977.6464""","=""3s2.3p4.(1D).3d""","=""2D""","=""3/2""","=""3s2.3p4.(3P<2>).5f""","=""2[3]*""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""310.998""","=""0.002""","=""310.997801""","=""0.000022""","=""0.5""","=""""",,"=""179931.8393""","=""212077.0827""","=""3s2.3p4.(1S).3d""","=""2D""","=""3/2""","=""3s2.3p4.(3P<0>).6f""","=""2[3]*""","=""5/2""",,"=""""","=""L14821""",
Ar,3,"=""311.041""","=""0.003""","=""311.0340""","=""0.0013""","=""7""","=""""",,"=""211005.56""","=""243147.063""","=""3s2.3p3.(2P*).3d""","=""3D*""","=""2""","=""3s2.3p3.(2P*).4p""","=""3P""","=""1""",,"=""""","=""L7493""",
Ar,2,"=""311.4378""","=""0.0006""","=""311.438155""","=""0.000016""","=""3""","=""""",,"=""172829.6539""","=""204929.4477""","=""3s2.3p4.(1D).3d""","=""2D""","=""3/2""","=""3s2.3p4.(3P).6p""","=""2S*""","=""1/2""",,"=""""","=""L14821""",
Ar,7,"=""311.78""","=""0.02""","=""311.79""","=""0.03""","=""""","=""""",,"=""707626.""","=""739690.""","=""3d2""","=""1S""","=""0""","=""3s.5p""","=""3P*""","=""1""",,"=""""","=""L16205""",
Ar,2,"=""312.4268""","=""0.0006""","=""312.427803""","=""0.000007""","=""1""","=""""",,"=""163299.5616""","=""195297.6798""","=""3s2.3p4.(1D).3d""","=""2F""","=""5/2""","=""3s2.3p4.(3P<2>).4f""","=""2[1]*""","=""3/2""",,"=""""","=""L14821""",
Ar,3,"=""312.790""","=""0.003""","=""312.79036""","=""0.00007""","=""7""","=""""",,"=""207233.003""","=""239194.033""","=""3s2.3p3.(2P*).4s""","=""3P*""","=""2""","=""3s2.3p3.(2P*).4p""","=""3S""","=""1""",,"=""""","=""L7493""",
Ar,4,"=""313.479""","=""0.003""","=""313.484""","=""0.003""","=""9""","=""""",,"=""257343.58""","=""289233.9""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""",,"=""""","=""L11418""",
Ar,2,"=""313.64839""","=""0.00011""","=""313.648425""","=""0.000020""","=""7""","=""""",,"=""173347.9158""","=""205221.512""","=""3s2.3p4.(1D).4p""","=""2D*""","=""3/2""","=""3s2.3p4.(3P).5d""","=""2P""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""313.7629""","=""0.0006""","=""313.763261""","=""0.000007""","=""3""","=""""",,"=""158730.2995""","=""190592.2306""","=""3s2.3p4.(3P).4p""","=""2D*""","=""5/2""","=""3s2.3p4.(3P).4d""","=""2P""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""313.90174""","=""0.00001""","=""313.901722""","=""0.000004""","=""79""","=""5.2e+07""",C,"=""155043.1619""","=""186891.0393""","=""3s2.3p4.(3P).4p""","=""4P*""","=""5/2""","=""3s2.3p4.(3P).4d""","=""4P""","=""5/2""",,"=""T926""","=""L11520""",
Ar,2,"=""313.92636""","=""0.00009""","=""313.926372""","=""0.000016""","=""8""","=""""",,"=""174409.8916""","=""206255.2684""","=""3s2.3p4.(1D).3d""","=""2P""","=""3/2""","=""3s2.3p4.(3P<1>).5f""","=""2[3]*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""314.0963""","=""0.0006""","=""314.097313""","=""0.000020""","=""2""","=""""",,"=""173393.4658""","=""205221.512""","=""3s2.3p4.(1D).4p""","=""2D*""","=""5/2""","=""3s2.3p4.(3P).5d""","=""2P""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""314.3891""","=""0.0006""","=""314.389502""","=""0.000010""","=""3""","=""""",,"=""172335.5985""","=""204134.0653""","=""3s2.3p4.(1D).3d""","=""2D""","=""5/2""","=""3s2.3p4.(1D).5p""","=""2D*""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""314.5900""","=""0.0006""","=""314.590397""","=""0.000009""","=""2""","=""""",,"=""172335.5985""","=""204113.7598""","=""3s2.3p4.(1D).3d""","=""2D""","=""5/2""","=""3s2.3p4.(1D).5p""","=""2D*""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""314.6422""","=""0.0006""","=""314.642615""","=""0.000004""","=""4""","=""3.e+05""",D,"=""155043.1619""","=""186816.0496""","=""3s2.3p4.(3P).4p""","=""4P*""","=""5/2""","=""3s2.3p4.(3P).4d""","=""2F""","=""7/2""",,"=""T926""","=""L14821""",
Ar,2,"=""314.8206""","=""0.0002""","=""314.820599""","=""0.000004""","=""2""","=""""",,"=""170401.0170""","=""202155.9425""","=""3s2.3p4.(1D).4p""","=""2F*""","=""5/2""","=""3s2.3p4.(3P).5d""","=""2F""","=""5/2""",,"=""""","=""L11520""",
